Fecha y hora;Usuario;Operacion;Ruta imagen;Texto
1686703622.384144;Franco;imagen-clasificada;atardecer.jpg;
1686703660.008329;Franco;imagen-clasificada;atardecer2.jpg;
1686703691.8528976;Franco;imagen-clasificada;cascada3.jpg;
1686703728.124425;Franco;imagen-clasificada;espacio_estrellas.png;
1686703764.3720677;Franco;imagen-clasificada;grafiti4.jpg;
1686703798.0336049;Franco;imagen-clasificada;perro_peludo.png;
1686703819.7767577;Franco;imagen-clasificada;tattoo5.png;
1686703846.240342;Franco;Genero-meme;Futurama.png;,Sospechoso
1686703866.5078945;Franco;Genero-meme;Futurama.png;,Hola
1686703897.6264393;Franco;Genero-meme;Drake.png;,Sanguches de miga,Sanguches de miga con papas
1686703940.6837046;Franco;Genero-meme;Morty.png;,XD
1686703967.2182174;Franco;Genero-collage;5v1.jpg;ARTE
1686703999.692827;Franco;Genero-collage;4v1.jpg;Al azar
1686704007.1275036;Franco;configuracion-modificada;;
1686704010.7784846;Franco;configuracion-modificada;;
1686704014.9661753;Franco;configuracion-modificada;;
1686704019.560118;Franco;configuracion-modificada;;
1686704060.2241733;Fran;imagen-clasificada;craneo.png;
1686704086.3797412;Fran;imagen-clasificada;paisaje2.png;
1686704115.7074037;Fran;imagen-clasificada;perro.jpg;
1686704144.766107;Fran;imagen-clasificada;tattoo3.png;
1686704174.320544;Fran;imagen-clasificada;atardecer3.jpeg;
1686704207.791121;Fran;Genero-meme;Drake.png;,Seminario de javascript,Seminario de python
1686704361.1037335;Fran;Genero-meme;CartoonNetwork.png;,Buenas practicas de programacion
1686704434.4581683;Fran;Genero-meme;CartoonNetwork.png;,Buenas practicas
1686704487.6328409;Fran;Genero-collage;13v1.jpg;Al azar
1686704500.2029693;Fran;configuracion-modificada;;
1686704504.3629212;Fran;configuracion-modificada;;
1686704508.643914;Fran;configuracion-modificada;;
1686704566.8172596;Dylan777;imagen-clasificada;grafiti3.jpg;
1686704605.16054;Dylan777;imagen-clasificada;paisaje4.png;
1686704648.6077878;Dylan777;Genero-meme;TipoBlanco.png;,JAV,JAVASCRIPT
1686704682.6681304;Dylan777;Genero-meme;Morty.png;,NOSE
1686704778.0513923;Dylan777;Genero-collage;10v2.jpg;Grafitis y Paisajes
1686704798.9890404;Dylan777;Genero-collage;2v1.jpg;Cielo
1686434892.659636;Eve;modificacion-imagen;grafiti3.jpg;
1686504892.659636;Eve;modificacion-imagen;grafiti3.jpg;
1686504892.659636;Eve;modificacion-imagen;grafiti3.jpg;
1686704910.069733;Eve;imagen-clasificada;paisaje3.png;
1686704930.0987086;Eve;imagen-clasificada;planeta.png;
1686724930.0987086;Eve;modificacion-imagen;cascada3.jpg;
1686724930.0987086;Eve;modificacion-imagen;cascada3.jpg;
1686654930.0987086;Eve;modificacion-imagen;cascada3.jpg;
1686654930.0987086;Eve;modificacion-imagen;cascada3.jpg;
1686704961.8208852;Eve;imagen-clasificada;luna.png;
1686705008.3805664;Eve;Genero-collage;4v1.jpg;NASA
1686705028.699544;Eve;Genero-collage;2v1.jpg;Grafiti
1686705048.7086806;Eve;configuracion-modificada;;
1686705052.4927611;Eve;configuracion-modificada;;
1686705104.1103938;Josue;imagen-clasificada;cascada.jpg;
1686705116.2167618;Josue;modificacion-imagen;cascada.jpg;
1686705116.2167618;Josue;modificacion-imagen;cascada.jpg;
1686705116.2167618;Josue;modificacion-imagen;cascada.jpg;
1686705116.2167618;Josue;modificacion-imagen;cascada.jpg;
1686705116.2167618;Josue;modificacion-imagen;cascada.jpg;
